1596240000,3067
1596412800,356
1596758400,49
1596672000,62
1596844800,37
1596931200,30
1596326400,556
1597017600,30
1597104000,21
1597190400,6
1597276800,11
1597449600,10
1597363200,19
1596153600,916
1596499200,101
1597536000,10
1597708800,4
1597622400,9
1597968000,7
1598140800,6
1598227200,2
1598054400,22
1598313600,8
1598400000,4
1598486400,5
1598572800,40
1598745600,136
1598832000,26
1598918400,18
1599004800,50
1599091200,68
1599177600,59
1599264000,17
1598659200,28
1599350400,35
1599523200,14
1599609600,7
1599782400,5
1599696000,6
1599868800,8
1599955200,13
1600041600,6
1600128000,3
1600214400,2
1600300800,7
1600473600,23
1600387200,6
1600646400,13
1600560000,13
1600732800,7
1600819200,6
1600992000,3
1600905600,3
1601164800,14
1601078400,5
1597795200,17
1601510400,7
1601424000,7
1601596800,12
1601683200,19
1601769600,17
1599436800,18
1601856000,11
1602115200,9
1596585600,105
1602201600,7
1602288000,3
1602374400,1
1602460800,3
1601337600,8
1602028800,5
1602720000,1
1602806400,1
1602892800,5
1602979200,1
1603065600,2
1603238400,2
1603152000,7
1602547200,3
1603411200,3
1603497600,5
1603584000,1
1603756800,4
1603670400,4
1603324800,1
1603843200,4
1597881600,12
1604016000,1
1602633600,2
1601251200,5
1604361600,7
1604448000,2
1604620800,1
1604534400,2
1604275200,4
1604188800,1
1604880000,2
1601942400,10
1604102400,1
1603929600,5
1605139200,5
1605312000,3
1605398400,1
1605484800,4
1605571200,1
1605657600,1
1605744000,2
1605830400,3
1605916800,4
1606003200,1
1606435200,1
1606521600,5
1606608000,1
1606694400,2
1607040000,2
1607126400,3
1607212800,1
1607385600,1
1607644800,2
1607817600,2
1607904000,4
1608422400,1
1608336000,1
1609027200,3
1608940800,3
1609200000,1
1609372800,1
1609459200,1
1609545600,1
1609632000,1
1609804800,2
1610150400,2
1610236800,5
1610323200,1
1610409600,1
1610582400,2
1610668800,1
1610755200,3
1610841600,2
1610928000,1
1611014400,2
1611273600,2
1611446400,1
1611532800,3
1611619200,1
1611705600,1
1611792000,1
1611878400,6
1611964800,5037
1612051200,11626
1612137600,8676
1612224000,2524
1612310400,1499
1612396800,925
1612483200,616
1612656000,689
1612742400,1726
1612569600,423
1612828800,517
1612915200,299
1613174400,234
1613088000,231
1613001600,285
1613260800,245
1613347200,155
1613433600,162
